,District,Crop,Season,Stage,Attribute,Govt_Sowing_Window,Govt_Harvest_Window,Recommended_Task_Window,Optimum_Range,Slightly_Low_Range,Slightly_Low_Risk,Slightly_Low_Action,Very_Low_Range,Very_Low_Risk,Very_Low_Action,Slightly_High_Range,Slightly_High_Risk,Slightly_High_Action,Very_High_Range,Very_High_Risk,Very_High_Action,Reference_Source,Stage_Cost_INR_per_acre,Cumulative_Cost_INR_per_acre,Min_Value,Max_Value,Unit
1470,Hasan,Jowar,Kharif,Maturity & Harvesting,Humidity,1 May – 31 May,23 Sep – 23 Oct,2 Sep – 23 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,190400,60,80,
1471,Hasan,Maize,Kharif,Germination & Establishment,Temperature,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,18-30 °C,16–18 °C,Slow emergence,Ensure soil moisture,<16 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"CIMMYT, ICAR",2000,128000,18,30,°C
1471,Hasan,Maize,Kharif,Germination & Establishment,Soil Nitrogen,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,150-200 kg/ha,113–149 kg/ha,"V-shaped yellowing on lower leaves, stunted growth",Top dress Urea at knee-high stage,< 112 kg/ha,"Severe stunting, thin stalks, firing of lower leaves",Immediate soil drenching with Urea,201–250 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 251 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2000,128000,150,200,kg/ha
1471,Hasan,Maize,Kharif,Germination & Establishment,Soil Phosphorus,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,75-100 kg/ha,57–74 kg/ha,"Purple tint on leaves (anthocyanin), slow growth",Apply DAP or SSP near root zone,< 56 kg/ha,"Defective ear formation, delayed maturity",Foliar spray of 19:19:19 or DAP,101–125 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 126 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2000,128000,75,100,kg/ha
1471,Hasan,Maize,Kharif,Germination & Establishment,Soil Potassium,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,40-50 kg/ha,31–39 kg/ha,"Scorched leaf margins (firing), lodging",Apply Muriate of Potash (MOP),< 30 kg/ha,"Empty cob tips, weak stalks, poor grain filling",Foliar spray of Potassium Nitrate,51–62 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 63 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2000,128000,40,50,kg/ha
1472,Hasan,Maize,Kharif,Germination & Establishment,Rainfall,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,20-40 mm/week,10–20 mm,Low soil moisture,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Waterlogging risk,Drain excess water,>60 mm,Seed rot,Ensure drainage,FAO,2000,128000,20,40,mm/week
1473,Hasan,Maize,Kharif,Germination & Establishment,Humidity,23 May – 22 Jun,31 Oct – 30 Nov,23 May – 20 Jun,60-80 %,80–85 %,Disease risk,Improve aeration,>85 %,Fungal outbreak,Avoid excess moisture,80–85 %,Seed rot / Damping off,Ensure good drainage,>85 %,Poor stand establishment,"Re-sow if necessary, treat seeds",CIMMYT,2000,128000,60,80,
1474,Hasan,Maize,Kharif,Vegetative Growth,Temperature,23 May – 22 Jun,31 Oct – 30 Nov,21 Jun – 26 Aug,20-32 °C,18–20 °C,Slow leaf growth,Maintain moisture,<18 °C,Stunted growth,Avoid stress,32–35 °C,Leaf rolling,Mulching,>35 °C,Heat stress,Light irrigation,CIMMYT,3000,131000,20,32,°C
1475,Hasan,Maize,Kharif,Vegetative Growth,Rainfall,23 May – 22 Jun,31 Oct – 30 Nov,21 Jun – 26 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,3000,131000,30,60,mm/week
1476,Hasan,Maize,Kharif,Vegetative Growth,Humidity,23 May – 22 Jun,31 Oct – 30 Nov,21 Jun – 26 Aug,60-75 %,75–80 %,Disease favoring,Improve airflow,>80 %,Leaf disease outbreak,Monitor crop,80–85 %,Fungal leaf blight risk,Improve field aeration,>85 %,Stalk rot / Severe blight,Apply recommended fungicide,ICAR,3000,131000,60,75,
1477,Hasan,Maize,Kharif,Flowering & Tasseling,Temperature,23 May – 22 Jun,31 Oct – 30 Nov,27 Aug – 13 Oct,21-30 °C,18–21 °C,Delayed tasseling,Maintain moisture,<18 °C,Poor pollen viability,Avoid stress,30–33 °C,Poor pollination,Mulching + irrigation,>33 °C,Pollen sterility,Emergency irrigation,CIMMYT,2500,133500,21,30,°C
1478,Hasan,Maize,Kharif,Flowering & Tasseling,Rainfall,23 May – 22 Jun,31 Oct – 30 Nov,27 Aug – 13 Oct,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Pollination failure,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2500,133500,30,50,mm/week
1479,Hasan,Maize,Kharif,Flowering & Tasseling,Humidity,23 May – 22 Jun,31 Oct – 30 Nov,27 Aug – 13 Oct,60-70 %,70–75 %,Disease risk,Improve airflow,>75 %,Fungal infection,Monitor crop,80–85 %,Pollen clumping / Poor set,Avoid overhead irrigation,>85 %,Cob rot risk,Ensure air circulation,ICAR,2500,133500,60,70,
1480,Hasan,Maize,Kharif,Seed Filling & Maturity,Temperature,23 May – 22 Jun,31 Oct – 30 Nov,14 Oct – 30 Nov,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Light irrigation,>33 °C,Yield loss,Irrigate lightly,CIMMYT,1500,135000,20,28,°C
1481,Hasan,Maize,Kharif,Seed Filling & Maturity,Rainfall,23 May – 22 Jun,31 Oct – 30 Nov,14 Oct – 30 Nov,20-40 mm/week,40–50 mm,Grain spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,1500,135000,20,40,mm/week
1482,Hasan,Maize,Kharif,Seed Filling & Maturity,Humidity,23 May – 22 Jun,31 Oct – 30 Nov,14 Oct – 30 Nov,55-65 %,65–70 %,Mold risk,Timely harvest,>70 %,Grain mold,Early harvest,75–80 %,Cob rot / Aflatoxin risk,Harvest at physiological maturity,>80 %,Grain spoilage,Harvest and dry immediately,ICAR,1500,135000,55,65,
1483,Hasan,Paddy,Kharif,Nursery & Germination,Temperature,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,20-30 °C,18–20 °C,Slow germination,Maintain shallow water,<18 °C,Poor seedling emergence,Delay sowing until temperature improves,30–33 °C,Uneven germination,Light irrigation to cool soil,>33 °C,Seedling mortality,Avoid sowing during heat waves,"IRRI, ICAR",2500,184500,20,30,°C
1483,Hasan,Paddy,Kharif,Nursery & Germination,Soil Nitrogen,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,100-125 kg/ha,76–99 kg/ha,"General yellowing, reduced tillering",Broadcast Urea in splits,< 75 kg/ha,"Erect growth, few panicles, early senescence",Immediate N application,126–156 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 157 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2500,184500,100,125,kg/ha
1483,Hasan,Paddy,Kharif,Nursery & Germination,Soil Phosphorus,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,50-60 kg/ha,38–49 kg/ha,"Stunted plants, dark green leaves, no tillers",Apply DAP during transplanting,< 37 kg/ha,"Poor root system, delayed flowering",Water soluble P fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2500,184500,50,60,kg/ha
1483,Hasan,Paddy,Kharif,Nursery & Germination,Soil Potassium,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,50-60 kg/ha,38–49 kg/ha,"Brown spots on leaves, weak stems",Apply MOP at panicle initiation,< 37 kg/ha,High susceptibility to Bacterial Leaf Blight,"Correct K levels, drain field",61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,2500,184500,50,60,kg/ha
1484,Hasan,Paddy,Kharif,Nursery & Germination,Rainfall,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,30-50 mm/week,20–30 mm,Low soil moisture,Supplemental irrigation,<20 mm,Failed germination,Immediate irrigation,50–70 mm,Seed rot,Improve drainage,>70 mm,Waterlogging,Drain excess water within 24 hrs,"FAO, IRRI",2500,184500,30,50,mm/week
1485,Hasan,Paddy,Kharif,Nursery & Germination,Humidity,8 Jun – 8 Jul,1 Dec – 31 Dec,8 Jun – 8 Jul,70-85 %,85–90 %,Damping-off risk,Improve aeration,>90 %,Severe nursery disease,"Reduce moisture, monitor closely",85–90 %,Damping-off risk,Improve nursery ventilation,>90 %,Seedling rot/Mortality,"Reduce seed density, drain excess water",IRRI,2500,184500,70,85,
1486,Hasan,Paddy,Kharif,Transplanting & Establishment,Temperature,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Jul – 8 Aug,22-32 °C,20–22 °C,Transplant shock,Maintain shallow standing water,<20 °C,Poor establishment,Delay transplanting,32–35 °C,Seedling stress,Transplant in evening,>35 °C,Seedling mortality,Avoid transplanting,"ICAR, IRRI",4000,188500,22,32,°C
1487,Hasan,Paddy,Kharif,Transplanting & Establishment,Rainfall,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Jul – 8 Aug,40-70 mm/week,30–40 mm,Moisture stress,Light irrigation,<30 mm,Establishment failure,Immediate irrigation,70–90 mm,Lodging risk,Controlled drainage,>90 mm,Root suffocation,Emergency drainage,FAO,4000,188500,40,70,mm/week
1488,Hasan,Paddy,Kharif,Transplanting & Establishment,Humidity,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Jul – 8 Aug,70-85 %,85–90 %,Disease favoring,Improve airflow,>90 %,Blast initiation,Close monitoring,85–90 %,Fungal disease risk (Blast),"Monitor for lesions, ensure drainage",>90 %,Severe disease outbreak (Sheath Blight),"Apply fungicide, drain field",IRRI,4000,188500,70,85,
1489,Hasan,Paddy,Kharif,Tillering & Vegetative Growth,Temperature,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Aug – 9 Oct,22-32 °C,20–22 °C,Reduced tillering,Maintain 2–5 cm standing water,<20 °C,Poor tiller formation,Continuous irrigation,32–35 °C,Reduced tiller survival,Avoid stress,>35 °C,Tiller mortality,Increase irrigation,IRRI,3000,191500,22,32,°C
1490,Hasan,Paddy,Kharif,Tillering & Vegetative Growth,Rainfall,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Aug – 9 Oct,50-80 mm/week,40–50 mm,Moisture stress,Supplemental irrigation,<40 mm,Severe tiller loss,Continuous irrigation,80–100 mm,Nutrient leaching,Controlled drainage,>100 mm,Waterlogging,Immediate drainage,FAO,3000,191500,50,80,mm/week
1491,Hasan,Paddy,Kharif,Tillering & Vegetative Growth,Humidity,8 Jun – 8 Jul,1 Dec – 31 Dec,9 Aug – 9 Oct,75-85 %,85–90 %,Leaf disease risk,Improve aeration,>90 %,Sheath blight outbreak,Monitor field,85–90 %,Fungal disease risk (Blast),"Monitor for lesions, ensure drainage",>90 %,Severe disease outbreak (Sheath Blight),"Apply fungicide, drain field",IRRI,3000,191500,75,85,
1492,Hasan,Paddy,Kharif,Flowering & Panicle Initiation,Temperature,8 Jun – 8 Jul,1 Dec – 31 Dec,10 Oct – 20 Nov,22-30 °C,20–22 °C,Delayed flowering,Maintain moisture,<20 °C,Spikelet sterility,Avoid stress,30–33 °C,Poor grain set,Light irrigation,>33 °C,Complete sterility,Emergency irrigation,"IRRI, ICAR",2000,193500,22,30,°C
1493,Hasan,Paddy,Kharif,Flowering & Panicle Initiation,Rainfall,8 Jun – 8 Jul,1 Dec – 31 Dec,10 Oct – 20 Nov,40-60 mm/week,30–40 mm,Moisture stress,Irrigation,<30 mm,Grain abortion,Continuous irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Flower damage,Emergency drainage,FAO,2000,193500,40,60,mm/week
1494,Hasan,Paddy,Kharif,Flowering & Panicle Initiation,Humidity,8 Jun – 8 Jul,1 Dec – 31 Dec,10 Oct – 20 Nov,70-80 %,80–85 %,Disease risk,Improve airflow,>85 %,Blast epidemic,Close monitoring,85–90 %,Pollination interference,Avoid nitrogen top dressing,>90 %,Grain discoloration / False Smut,Apply prophylactic spray if needed,IRRI,2000,193500,70,80,
1495,Hasan,Paddy,Kharif,Grain Filling & Maturity,Temperature,8 Jun – 8 Jul,1 Dec – 31 Dec,21 Nov – 31 Dec,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Maintain moisture,>33 °C,Poor grain quality,Irrigate lightly,ICAR,1500,195000,20,28,°C
1496,Hasan,Paddy,Kharif,Grain Filling & Maturity,Rainfall,8 Jun – 8 Jul,1 Dec – 31 Dec,21 Nov – 31 Dec,20-40 mm/week,40–50 mm,Grain discoloration,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Harvest loss,Field drainage,FAO,1500,195000,20,40,mm/week
1497,Hasan,Paddy,Kharif,Grain Filling & Maturity,Humidity,8 Jun – 8 Jul,1 Dec – 31 Dec,21 Nov – 31 Dec,60-70 %,70–75 %,Mold risk,Harvest at maturity,>75 %,Grain mold,Early harvest,80–85 %,Grain sprouting/discoloration,Drain field completely,>85 %,Grain quality deterioration,Harvest immediately and dry,ICAR,1500,195000,60,70,
1498,Hasan,Ragi,Kharif,Germination & Establishment,Temperature,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,20-30 °C,18–20 °C,Slow germination,Ensure soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1500,191900,20,30,°C
1498,Hasan,Ragi,Kharif,Germination & Establishment,Soil Nitrogen,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,191900,100,150,kg/ha
1498,Hasan,Ragi,Kharif,Germination & Establishment,Soil Phosphorus,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,191900,50,75,kg/ha
1498,Hasan,Ragi,Kharif,Germination & Establishment,Soil Potassium,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,191900,40,60,kg/ha
1499,Hasan,Ragi,Kharif,Germination & Establishment,Rainfall,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1500,191900,20,40,mm/week
1500,Hasan,Ragi,Kharif,Germination & Establishment,Humidity,8 Jun – 8 Jul,31 Oct – 30 Nov,8 Jun – 4 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,191900,60,80,
1501,Hasan,Ragi,Kharif,Vegetative Growth,Temperature,8 Jun – 8 Jul,31 Oct – 30 Nov,5 Jul – 26 Aug,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf rolling,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2000,193900,22,32,°C
1502,Hasan,Ragi,Kharif,Vegetative Growth,Rainfall,8 Jun – 8 Jul,31 Oct – 30 Nov,5 Jul – 26 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2000,193900,30,60,mm/week
1503,Hasan,Ragi,Kharif,Vegetative Growth,Humidity,8 Jun – 8 Jul,31 Oct – 30 Nov,5 Jul – 26 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,193900,60,80,
1504,Hasan,Ragi,Kharif,Flowering & Grain Formation,Temperature,8 Jun – 8 Jul,31 Oct – 30 Nov,27 Aug – 9 Oct,21-30 °C,18–21 °C,Delayed flowering,Maintain moisture,<18 °C,Poor grain set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICAR,1800,195700,21,30,°C
1505,Hasan,Ragi,Kharif,Flowering & Grain Formation,Rainfall,8 Jun – 8 Jul,31 Oct – 30 Nov,27 Aug – 9 Oct,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,1800,195700,30,50,mm/week
1506,Hasan,Ragi,Kharif,Flowering & Grain Formation,Humidity,8 Jun – 8 Jul,31 Oct – 30 Nov,27 Aug – 9 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1800,195700,60,80,
1507,Hasan,Ragi,Kharif,Maturity & Harvesting,Temperature,8 Jun – 8 Jul,31 Oct – 30 Nov,10 Oct – 30 Nov,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,1500,197200,20,28,°C
1508,Hasan,Ragi,Kharif,Maturity & Harvesting,Rainfall,8 Jun – 8 Jul,31 Oct – 30 Nov,10 Oct – 30 Nov,20-40 mm/week,40–50 mm,Grain spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,1500,197200,20,40,mm/week
1509,Hasan,Ragi,Kharif,Maturity & Harvesting,Humidity,8 Jun – 8 Jul,31 Oct – 30 Nov,10 Oct – 30 Nov,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,197200,60,80,
1510,Hasan,Red Gram,Kharif,Germination & Establishment,Temperature,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,231200,20,30,°C
1510,Hasan,Red Gram,Kharif,Germination & Establishment,Soil Nitrogen,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,231200,100,150,kg/ha
1510,Hasan,Red Gram,Kharif,Germination & Establishment,Soil Phosphorus,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,231200,50,75,kg/ha
1510,Hasan,Red Gram,Kharif,Germination & Establishment,Soil Potassium,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,231200,40,60,kg/ha
1511,Hasan,Red Gram,Kharif,Germination & Establishment,Rainfall,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1600,231200,20,40,mm/week
1512,Hasan,Red Gram,Kharif,Germination & Establishment,Humidity,23 Jun – 23 Jul,1 Jan – 31 Jan,23 Jun – 26 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1600,231200,60,80,
1513,Hasan,Red Gram,Kharif,Vegetative Growth,Temperature,23 Jun – 23 Jul,1 Jan – 31 Jan,27 Jul – 3 Nov,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2200,233400,22,32,°C
1514,Hasan,Red Gram,Kharif,Vegetative Growth,Rainfall,23 Jun – 23 Jul,1 Jan – 31 Jan,27 Jul – 3 Nov,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2200,233400,30,60,mm/week
1515,Hasan,Red Gram,Kharif,Vegetative Growth,Humidity,23 Jun – 23 Jul,1 Jan – 31 Jan,27 Jul – 3 Nov,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2200,233400,60,80,
1516,Hasan,Red Gram,Kharif,Flowering & Pod Formation,Temperature,23 Jun – 23 Jul,1 Jan – 31 Jan,4 Nov – 18 Dec,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,235800,21,30,°C
1517,Hasan,Red Gram,Kharif,Flowering & Pod Formation,Rainfall,23 Jun – 23 Jul,1 Jan – 31 Jan,4 Nov – 18 Dec,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,235800,30,50,mm/week
1518,Hasan,Red Gram,Kharif,Flowering & Pod Formation,Humidity,23 Jun – 23 Jul,1 Jan – 31 Jan,4 Nov – 18 Dec,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,235800,60,80,
1519,Hasan,Red Gram,Kharif,Pod Development & Maturity,Temperature,23 Jun – 23 Jul,1 Jan – 31 Jan,19 Dec – 31 Jan,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,237800,20,28,°C
1520,Hasan,Red Gram,Kharif,Pod Development & Maturity,Rainfall,23 Jun – 23 Jul,1 Jan – 31 Jan,19 Dec – 31 Jan,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,237800,20,40,mm/week
1521,Hasan,Red Gram,Kharif,Pod Development & Maturity,Humidity,23 Jun – 23 Jul,1 Jan – 31 Jan,19 Dec – 31 Jan,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,237800,60,80,
1522,Hasan,Sesame,Kharif,Germination & Establishment,Temperature,25 Apr – 25 May,1 Aug – 31 Aug,25 Apr – 14 May,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1700,309700,20,30,°C
1522,Hasan,Sesame,Kharif,Germination & Establishment,Soil Nitrogen,25 Apr – 25 May,1 Aug – 31 Aug,25 Apr – 14 May,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,309700,100,150,kg/ha
